title,rate,num,info,director,actor,time,country,type
未麻的部屋,9.1,327999人,好的剧本是，就算你猜到了结局也猜不到全部。,今敏SatoshiKon,岩男润子JunkoIwao,1997,日本,动画
萤火之森,8.9,532896人,触不到的恋人。,大森贵弘TakahiroOmori,佐仓绫音AyaneSakura,2011,日本,剧情
怪兽电力公司,8.8,662367人,不要给它起名字，起了名字就有感情了。,彼特·道格特PeteDocter,约,2001,美国,儿童
哈利·波特与火焰杯,8.8,650215人,电影详细信息不详,迈克·内威尔MikeNewell,丹尼尔·雷德克里夫DanielRadclif,2005,英国,悬疑
傲慢与偏见,8.7,791341人,爱是摈弃傲慢与偏见之后的曙光。,乔·怀特JoeWright,凯拉·奈特莉KeiraKnightley,2005,法国,剧情
玩具总动员3,8.9,509410人,跨度十五年的欢乐与泪水。,李·昂克里奇LeeUnkrich,汤姆·汉克斯TomHanks,2010,美国,喜剧
新世界,8.9,427955人,要做就做得狠一点，这样才能活下去。,朴勋政Hoon-jungPark,李政宰Jung-JaeLee,2013,韩国,剧情
釜山行,8.6,1187161人,揭露人性的丧尸题材力作。,延尚昊Sang-hoYeon,孔侑YooGong,2016,韩国,动作
神偷奶爸,8.7,939276人,Mr. I Don't Care其实也有Care的时候。,皮艾尔·柯芬PierreCoffin,演职人员不详,2010,美国,喜剧
被解救的姜戈,8.8,602892人,热血沸腾，那个低俗、性感的无耻混蛋又来了。,昆汀·塔伦蒂诺QuentinTarantino,杰米·福克斯JamieFoxx,2012,美国,剧情
玛丽和马克思,9.0,419386人,你是我最好的朋友，你是我唯一的朋友 。,亚当·艾略特AdamElliot,托妮·科莱特ToniCollette,2009,澳大利亚,剧情
告白,8.8,666738人,没有一人完全善，也没有一人完全恶。,中岛哲也TetsuyaNakashima,松隆子TakakoMatsu,2010,日本,剧情
大鱼,8.8,564148人,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,蒂姆·波顿TimBurton,伊万·麦克格雷格EwanMcGregor,2003,美国,剧情
哪吒闹海,9.2,256484人,想你时你在闹海。,王树忱ShuchenWang,梁正晖Zhenghui,1979,中国大陆,冒险
射雕英雄传之东成西就,8.7,630850人,百看不厌。 ,刘镇伟JeffreyLau,梁朝伟TonyLeungChiuWai,1993,中国香港,喜剧
喜宴,9.0,358034人,中国家庭的喜怒哀乐忍。,李安AngLee,赵文瑄WinstonChao,1993,中国台湾,剧情
头号玩家,8.7,1355816人,写给影迷，动漫迷和游戏迷的一封情书。,史蒂文·斯皮尔伯格StevenSpielberg,泰伊·谢里丹TyeSheri,2018,美国,动作
模仿游戏,8.8,640085人,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,莫滕·泰杜姆MortenTyldum,本尼迪克特·康伯巴奇BenedictC,2014,英国,剧情
茶馆,9.6,141489人,电影详细信息不详,谢添TianXie,于是之ShizhiYu,1982(中国大陆),中国大陆,剧情
阳光姐妹淘,8.8,586752人,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,姜炯哲Hyeong-CheolKang,沈恩京Eun-kyungShim,2011,韩国,剧情
我是山姆,9.0,334725人,爱并不需要智商 。,杰茜·尼尔森JessieNelson,SeanPenn,2001,美国,剧情
九品芝麻官,8.7,669425人,电影详细信息不详,王晶JingWong,周星驰StephenChow,1994,中国香港,剧情
花样年华,8.7,600465人,偷情本没有这样美。,王家卫KarWaiWong,梁朝伟TonyLeungChiuWai,2000,中国香港,剧情
血战钢锯岭,8.7,776846人,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,梅尔·吉布森MelGibson,安德鲁·加菲尔德AndrewGarfield,2016,澳大利亚,剧情
色，戒,8.7,796757人,假戏真情，爱欲深海,李安AngLee,梁朝伟TonyLeungChiuWai,2007,中国台湾,剧情
恐怖直播,8.7,645752人,恐怖分子的“秋菊打官司”。,金秉祐Byeong-wooKim,河正宇Jung-wooHa,2013,韩国,剧情
七武士,9.3,195863人,时代悲歌。,黑泽明AkiraKurosawa,三船敏郎ToshirôMifune,1954,日本,动作
头脑特工队,8.8,604641人,愿我们都不用长大，每一座城堡都能永远存在。,彼特·道格特PeteDocter,演职人员不详,2015,美国,喜剧
惊魂记,9.0,289433人,故事的反转与反转，分裂电影的始祖。,阿尔弗雷德·希区柯克AlfredHitchcock,安东尼·博金斯Antho,1960,美国,悬疑
黑客帝国3：矩阵革命,8.8,443034人,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,拉娜·沃卓斯基LanaWachowski,,2003,美国,动作
你的名字。,8.5,1393669人,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,新海诚MakotoShinkai,神木隆之介RyûnosukeKamiki,2016,日本,剧情
电锯惊魂,8.8,526414人,真相就在眼前。,詹姆斯·温JamesWan,雷·沃纳尔LeighWhannell,2004,美国,悬疑
三块广告牌,8.7,813440人,怼天怼地，你走后，她与世界为敌。,马丁·麦克唐纳MartinMcDonagh,弗兰西斯·麦克多蒙德France,2017,英国,剧情
达拉斯买家俱乐部,8.8,448564人,Jared Leto的腿比女人还美！,让-马克·瓦雷Jean-MarcVallée,马修·麦康纳MatthewMcCon,2013,美国,剧情
疯狂原始人,8.7,831216人,老少皆宜，这就是好莱坞动画的魅力。,科克·德·米科KirkDeMicco,演职人员不详,2013,美国,喜剧
心迷宫,8.7,515021人,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,忻钰坤YukunXin,霍卫民WeiminHuo,2014,中国大陆,剧情
谍影重重3,8.8,414062人,像吃了苏打饼一样干脆的电影。,保罗·格林格拉斯PaulGreengrass,马特·达蒙MattDamon,2007,美国,动作
上帝之城,9.0,299276人,被上帝抛弃了的上帝之城。,费尔南多·梅里尔斯FernandoMeirelles,演职人员不详,2002,巴西,犯罪
英雄本色,8.6,535071人,英雄泪短，兄弟情长。 ,吴宇森JohnWoo,周润发Yun-FatChow,1986,中国香港,剧情
卢旺达饭店,8.9,326762人,当这个世界闭上双眼，他却敞开了怀抱。,特瑞·乔治TerryGeorge,唐·钱德尔DonCheadle,2004,英国,剧情
纵横四海,8.8,421339人,香港浪漫主义警匪动作片的巅峰之作。,吴宇森JohnWoo,周润发Yun-FatChow,1991,中国香港,剧情
风之谷,8.9,351760人,动画片的圣经。,宫崎骏HayaoMiyazaki,岛本须美SumiShimamoto,1984,日本,动画
海街日记,8.8,443825人,是枝裕和的家庭习作。,是枝裕和HirokazuKoreeda,绫濑遥HarukaAyase,2015,日本,剧情
爱在午夜降临前,8.9,397376人,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,理查德·林克莱特RichardLinklater,伊桑·霍克EthanHawke,2013,美国,剧情
绿里奇迹,8.9,325704人,天使暂时离开。,弗兰克·德拉邦特FrankDarabont,汤姆·汉克斯TomHanks,1999,美国,犯罪
记忆碎片,8.7,594837人,一个针管引发的血案。,克里斯托弗·诺兰ChristopherNolan,盖·皮尔斯GuyPearce,2000,美国,犯罪
岁月神偷,8.7,570891人,岁月流逝，来日可追。,罗启锐AlexLaw,吴君如SandraNg,2010,中国香港,剧情
忠犬八公物语,9.2,194054人,养狗三日，便会对你终其一生。,神山征二郎SeijirôKôyama,仲代达矢TatsuyaNakadai,1987,日本,剧情
疯狂的石头,8.6,812428人,中国版《两杆大烟枪》。,宁浩HaoNing,郭涛TaoGuo,2006,中国大陆,喜剧
荒蛮故事,8.8,439894人,始于荒诞，止于更荒诞。,达米安·斯兹弗隆DamiánSzifron,达里奥·葛兰帝内提Darío,2014,阿根廷,剧情
雨中曲,9.1,222421人,骨灰级歌舞片。,斯坦利·多南StanleyDonen,吉恩·,1952,美国,喜剧
小偷家族,8.7,806347人,我们组成了家。,是枝裕和HirokazuKoreeda,中川雅也LilyFranky,2018,日本,剧情
小丑,8.7,995194人,电影详细信息不详,托德·菲利普斯ToddPhillips,杰昆·菲尼克斯JoaquinPhoeni,2019,美国,剧情
2001太空漫游,8.9,323492人,现代科幻电影的开山之作，最伟大导演的最伟大影片。,斯坦利·库布里克StanleyKubrick,凯尔·杜拉KeirDullea,1968,英国,科幻
背靠背，脸对脸,9.5,130276人,电影详细信息不详,黄建新JianxinHuang,牛振华ZhenhuaN,1994,中国大陆,剧情
爆裂鼓手,8.7,582198人,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,达米恩·查泽雷DamienChazelle,迈尔斯·特勒MilesTelle,2014,美国,剧情
无敌破坏王,8.7,531462人,迪士尼和皮克斯拿错剧本的产物。,瑞奇·莫尔RichMoore,约翰·C·赖利JohnC.Reilly,2012,美国,喜剧
无间道2,8.7,472110人,电影详细信息不详,刘伟强,陈冠希EdisonChen,2003,中国香港,剧情
贫民窟的百万富翁,8.6,739272人,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,丹尼·鲍尔DannyBoyle,戴夫,2008,英国,剧情
心灵奇旅,8.7,967951人,电影详细信息不详,彼特·道格特PeteDocter,杰米·,2020,美国,动画
冰川时代,8.6,606647人,松鼠才是角儿。,卡洛斯·沙尔丹哈CarlosSaldanha,演职人员不详,2002,美国,喜剧
东邪西毒,8.6,572044人,电影诗。,王家卫KarWaiWong,张国荣LeslieCheung,1994,中国香港,剧情
恐怖游轮,8.5,851690人,不要企图在重复中寻找已经失去的爱。,克里斯托弗·史密斯ChristopherSmith,梅利莎·乔治Melissa,2009,英国,剧情
牯岭街少年杀人事件,8.9,295920人,弱者送给弱者的一刀。,杨德昌EdwardYang,张震ChenChang,1991,中国台湾,剧情
魔女宅急便,8.7,455001人,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,宫崎骏HayaoMiyazaki,高山南MinamiTakayama,1989,日本,动画
遗愿清单,8.7,455212人,用剩余不多的时间，去燃烧整个生命。,罗伯·莱纳RobReiner,杰克·尼科尔森JackNicholson,2007,美国,冒险
东京教父,9.0,226372人,电影详细信息不详,今敏SatoshiKon,江守彻ToruEmori,2003,日本,剧情
你看起来好像很好吃,8.9,329993人,感情不分食草或者食肉。,藤森雅也MasayaFujimori,山口胜平KappeiYamaguchi,2010,日本,剧情
真爱至上,8.6,726592人,爱，是个动词。,理查德·柯蒂斯RichardCurtis,休·格兰特HughGrant,2003,英国,喜剧
大佛普拉斯,8.7,449707人,人们可以登上月球，却永远无法探索人们内心的宇宙。,黄信尧Hsin-yaoHuang,庄益增YizengZhuang,2017,中国台湾,剧情
黑天鹅,8.6,773781人,黑暗之美。,达伦·阿罗诺夫斯基DarrenAronofsky,娜塔莉·波特曼Natalie,2010,美国,剧情
可可西里,8.9,300399人,坚硬的信仰。,陆川ChuanLu,多布杰Duobujie,2004,中国大陆,剧情
城市之光,9.3,144393人,永远的小人物，伟大的卓别林。,CharlesChaplin,查理·卓别林CharlesChaplin,1931,美国,喜剧
源代码,8.5,826961人,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,邓肯·琼斯DuncanJones,杰克·吉伦哈尔JakeGyllenhaal,2011,美国,科幻
雨人,8.7,400225人,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,巴瑞·莱文森BarryLevinson,达斯汀·霍夫曼DustinHoffman,1988,美国,剧情
